1,-155,0.0005,-0.00248 ,,,-0.053333333
2,-158,0.00075,-0.00253 ,-0.192,-10.9,
3,-160,0.001,-0.00256 ,-0.128,-7.3,
4,-162,0.00125,-0.00259 ,-0.128,-7.3,
5,-162,0.0015,-0.00259 ,0,0,
6,-162,0.00175,-0.00259 ,0,0,
1,-160,0.002,-0.00256 ,0.128,7.3,0.128
2,-157,0.00225,-0.00251 ,0.192,10.9,
3,-152,0.0025,-0.00243 ,0.32,17.7,
4,-150,0.00275,-0.00240 ,0.128,7.3,
5,-151,0.003,-0.00242 ,-0.064,-3.7,
6,-150,0.00325,-0.00240 ,0.064,3.7,
1,-148,0.0035,-0.00237 ,0.128,7.3,0.021333333
2,-146,0.00375,-0.00234 ,0.128,7.3,
3,-143,0.004,-0.00229 ,0.192,10.9,
4,-142,0.00425,-0.00227 ,0.064,3.7,
5,-143,0.0045,-0.00229 ,-0.064,-3.7,
6,-145,0.00475,-0.00232 ,-0.128,-7.3,
1,-146,0.005,-0.00234 ,-0.064,-3.7,-0.405333333
2,-149,0.00525,-0.00238 ,-0.192,-10.9,
3,-157,0.0055,-0.00251 ,-0.512,-27.1,
4,-165,0.00575,-0.00264 ,-0.512,-27.1,
5,-170,0.006,-0.00272 ,-0.32,-17.7,
6,-177,0.00625,-0.00283 ,-0.448,-24.1,
1,-184,0.0065,-0.00294 ,-0.448,-24.1,-0.117333333
2,-187,0.00675,-0.00299 ,-0.192,-10.9,
3,-189,0.007,-0.00302 ,-0.128,-7.3,
4,-191,0.00725,-0.00306 ,-0.128,-7.3,
5,-192,0.0075,-0.00307 ,-0.064,-3.7,
6,-194,0.00775,-0.00310 ,-0.128,-7.3,
1,-195,0.008,-0.00312 ,-0.064,-3.7,0.096
2,-194,0.00825,-0.00310 ,0.064,3.7,
3,-194,0.0085,-0.00310 ,0,0,
4,-193,0.00875,-0.00309 ,0.064,3.7,
5,-189,0.009,-0.00302 ,0.256,14.4,
6,-187,0.00925,-0.00299 ,0.128,7.3,
1,-186,0.0095,-0.00298 ,0.064,3.7,0.213333333
2,-185,0.00975,-0.00296 ,0.064,3.7,
3,-182,0.01,-0.00291 ,0.192,10.9,
4,-175,0.01025,-0.00280 ,0.448,24.1,
5,-165,0.0105,-0.00264 ,0.64,32.6,
6,-162,0.01075,-0.00259 ,0.192,10.9,
1,-166,0.011,-0.00266 ,-0.256,-14.4,-0.032
2,-168,0.01125,-0.00269 ,-0.128,-7.3,
3,-167,0.0115,-0.00267 ,0.064,3.7,
4,-166,0.01175,-0.00266 ,0.064,3.7,
5,-166,0.012,-0.00266 ,0,0,
6,-168,0.01225,-0.00269 ,-0.128,-7.3,
1,-169,0.0125,-0.00270 ,-0.064,-3.7,0.117333333
2,-169,0.01275,-0.00270 ,0,0,
3,-168,0.013,-0.00269 ,0.064,3.7,
4,-165,0.01325,-0.00264 ,0.192,10.9,
5,-162,0.0135,-0.00259 ,0.192,10.9,
6,-161,0.01375,-0.00258 ,0.064,3.7,
1,-158,0.014,-0.00253 ,0.192,10.9,-0.032
2,-156,0.01425,-0.00250 ,0.128,7.3,
3,-156,0.0145,-0.00250 ,0,0,
4,-155,0.01475,-0.00248 ,0.064,3.7,
5,-155,0.015,-0.00248 ,0,0,
6,-158,0.01525,-0.00253 ,-0.192,-10.9,
1,-161,0.0155,-0.00258 ,-0.192,-10.9,-0.096
2,-165,0.01575,-0.00264 ,-0.256,-14.4,
3,-167,0.016,-0.00267 ,-0.128,-7.3,
4,-168,0.01625,-0.00269 ,-0.064,-3.7,
5,-169,0.0165,-0.00270 ,-0.064,-3.7,
6,-170,0.01675,-0.00272 ,-0.064,-3.7,
1,-170,0.017,-0.00272 ,0,0,-0.32
2,-172,0.01725,-0.00275 ,-0.128,-7.3,
3,-173,0.0175,-0.00277 ,-0.064,-3.7,
4,-177,0.01775,-0.00283 ,-0.256,-14.4,
5,-184,0.018,-0.00294 ,-0.448,-24.1,
6,-192,0.01825,-0.00307 ,-0.512,-27.1,
1,-200,0.0185,-0.00320 ,-0.512,-27.1,-0.117333333
2,-206,0.01875,-0.00330 ,-0.384,-21,
3,-211,0.019,-0.00338 ,-0.32,-17.7,
4,-214,0.01925,-0.00342 ,-0.192,-10.9,
5,-215,0.0195,-0.00344 ,-0.064,-3.7,
6,-214,0.01975,-0.00342 ,0.064,3.7,
1,-211,0.02,-0.00338 ,0.192,10.9,-0.064
2,-208,0.02025,-0.00333 ,0.192,10.9,
3,-207,0.0205,-0.00331 ,0.064,3.7,
4,-208,0.02075,-0.00333 ,-0.064,-3.7,
5,-206,0.021,-0.00330 ,0.128,7.3,
6,-212,0.02125,-0.00339 ,-0.384,-21,
1,-217,0.0215,-0.00347 ,-0.32,-17.7,0.096
2,-219,0.02175,-0.00350 ,-0.128,-7.3,
3,-218,0.022,-0.00349 ,0.064,3.7,
4,-215,0.02225,-0.00344 ,0.192,10.9,
5,-213,0.0225,-0.00341 ,0.128,7.3,
6,-210,0.02275,-0.00336 ,0.192,10.9,
1,-208,0.023,-0.00333 ,0.128,7.3,0.373333333
2,-204,0.02325,-0.00326 ,0.256,14.4,
3,-196,0.0235,-0.00314 ,0.512,27.1,
4,-184,0.02375,-0.00294 ,0.768,37.5,
5,-171,0.024,-0.00274 ,0.832,39.8,
6,-171,0.02425,-0.00274 ,0,0,
1,-173,0.0245,-0.00277 ,-0.128,-7.3,-0.042666667
2,-173,0.02475,-0.00277 ,0,0,
3,-174,0.025,-0.00278 ,-0.064,-3.7,
4,-176,0.02525,-0.00282 ,-0.128,-7.3,
5,-177,0.0255,-0.00283 ,-0.064,-3.7,
6,-176,0.02575,-0.00282 ,0.064,3.7,
1,-177,0.026,-0.00283 ,-0.064,-3.7,-0.16
2,-181,0.02625,-0.00290 ,-0.256,-14.4,
3,-185,0.0265,-0.00296 ,-0.256,-14.4,
4,-188,0.02675,-0.00301 ,-0.192,-10.9,
5,-190,0.027,-0.00304 ,-0.128,-7.3,
6,-191,0.02725,-0.00306 ,-0.064,-3.7,
1,-192,0.0275,-0.00307 ,-0.064,-3.7,0.096
2,-191,0.02775,-0.00306 ,0.064,3.7,
3,-191,0.028,-0.00306 ,0,0,
4,-189,0.02825,-0.00302 ,0.128,7.3,
5,-184,0.0285,-0.00294 ,0.32,17.7,
6,-183,0.02875,-0.00293 ,0.064,3.7,
1,-183,0.029,-0.00293 ,0,0,0.042666667
2,-181,0.02925,-0.00290 ,0.128,7.3,
3,-180,0.0295,-0.00288 ,0.064,3.7,
4,-180,0.02975,-0.00288 ,0,0,
5,-180,0.03,-0.00288 ,0,0,
6,-179,0.03025,-0.00286 ,0.064,3.7,
1,-179,0.0305,-0.00286 ,0,0,0.042666667
2,-178,0.03075,-0.00285 ,0.064,3.7,
3,-173,0.031,-0.00277 ,0.32,17.7,
4,-164,0.03125,-0.00262 ,0.576,29.9,
5,-170,0.0315,-0.00272 ,-0.384,-21,
6,-171,0.03175,-0.00274 ,-0.064,-3.7,
1,-175,0.032,-0.00280 ,-0.256,-14.4,-0.149333333
2,-180,0.03225,-0.00288 ,-0.32,-17.7,
3,-183,0.0325,-0.00293 ,-0.192,-10.9,
4,-185,0.03275,-0.00296 ,-0.128,-7.3,
5,-186,0.033,-0.00298 ,-0.064,-3.7,
6,-188,0.03325,-0.00301 ,-0.128,-7.3,
1,-189,0.0335,-0.00302 ,-0.064,-3.7,0.042666667
2,-190,0.03375,-0.00304 ,-0.064,-3.7,
3,-190,0.034,-0.00304 ,0,0,
4,-189,0.03425,-0.00302 ,0.064,3.7,
5,-187,0.0345,-0.00299 ,0.128,7.3,
6,-184,0.03475,-0.00294 ,0.192,10.9,
1,-185,0.035,-0.00296 ,-0.064,-3.7,-0.202666667
2,-189,0.03525,-0.00302 ,-0.256,-14.4,
3,-195,0.0355,-0.00312 ,-0.384,-21,
4,-199,0.03575,-0.00318 ,-0.256,-14.4,
5,-201,0.036,-0.00322 ,-0.128,-7.3,
6,-203,0.03625,-0.00325 ,-0.128,-7.3,
